Region,day,month,year,Temperature,RH,Ws,Rain,FFMC,DMC,DC,ISI,BUI,FWI,Classes
Bejaia Region Dataset,6,9,2012,28,79,25,16.2,35.4,3.0,4.2,4.6,45.5,3.6,not fire
Bejaia Region Dataset,2,9,2012,22,69,32,13.1,94.1,20.8,33.5,12.4,18.9,7.4,not fire
Bejaia Region Dataset,28,8,2012,20,94,34,11.0,92.6,1.9,20.8,14.3,48.2,18.0,not fire
Bejaia Region Dataset,21,9,2012,40,28,30,1.7,25.3,15.3,58.5,12.3,4.5,16.1,fire
Bejaia Region Dataset,1,8,2014,35,53,18,8.2,91.6,29.9,78.5,0.0,34.4,19.7,not fire
Bejaia Region Dataset,12,7,2014,42,54,6,7.5,69.7,24.4,20.5,9.5,24.7,15.1,not fire
Bejaia Region Dataset,26,8,2012,25,20,32,5.2,85.8,18.5,52.3,0.8,19.4,7.9,not fire
Bejaia Region Dataset,22,8,2013,36,59,26,14.5,56.8,9.2,15.8,3.9,31.6,11.8,not fire
Bejaia Region Dataset,29,8,2012,24,83,15,9.9,61.1,18.7,45.2,0.9,35.2,13.2,not fire
Bejaia Region Dataset,12,9,2014,24,41,5,1.6,59.2,15.8,37.1,9.1,0.2,1.6,not fire
Bejaia Region Dataset,25,9,2014,25,79,23,4.4,71.7,12.8,77.8,10.3,8.3,10.9,not fire
Bejaia Region Dataset,17,8,2013,22,83,25,13.7,34.8,3.9,48.7,1.7,35.7,14.2,not fire
Bejaia Region Dataset,27,9,2014,40,91,8,1.5,27.1,26.6,28.0,5.8,33.3,3.3,not fire
Bejaia Region Dataset,27,6,2012,42,30,23,17.0,46.6,13.5,9.1,6.8,48.3,15.6,not fire
Bejaia Region Dataset,31,6,2013,24,33,30,9.9,74.3,5.8,12.1,5.5,38.1,11.7,not fire
Bejaia Region Dataset,10,9,2012,40,79,33,9.6,39.1,11.0,18.0,1.8,47.5,19.0,not fire
Bejaia Region Dataset,28,9,2012,24,49,25,11.8,72.1,12.4,20.1,6.3,35.1,0.8,not fire
Bejaia Region Dataset,28,8,2013,29,54,15,16.5,92.9,24.8,68.0,11.3,14.9,5.3,not fire
Bejaia Region Dataset,16,7,2012,29,56,12,7.0,31.6,22.0,44.9,1.1,5.3,12.0,not fire
Bejaia Region Dataset,15,9,2014,38,24,15,13.6,72.1,23.1,41.9,1.2,39.1,5.9,not fire
Bejaia Region Dataset,30,6,2012,36,45,8,11.3,56.1,0.3,9.2,5.3,32.2,14.3,not fire
Bejaia Region Dataset,30,8,2013,40,81,21,5.3,85.8,12.5,68.8,14.1,2.4,15.2,not fire
Bejaia Region Dataset,15,9,2013,33,23,31,17.6,37.4,14.4,57.8,10.0,18.0,2.1,not fire
Bejaia Region Dataset,30,6,2013,28,61,11,15.9,73.5,0.6,5.4,10.2,47.8,10.3,not fire
Bejaia Region Dataset,19,6,2012,33,37,12,13.2,83.7,7.8,56.6,5.4,25.0,10.2,not fire
Bejaia Region Dataset,12,7,2013,20,59,7,17.0,91.1,22.8,43.5,8.9,21.6,7.4,not fire
Bejaia Region Dataset,23,8,2013,38,91,26,17.3,72.8,4.1,6.5,0.2,22.9,18.7,not fire
Bejaia Region Dataset,20,8,2012,32,58,6,14.2,59.8,16.1,36.7,9.5,10.4,16.6,not fire
Bejaia Region Dataset,25,7,2014,32,33,27,16.7,68.2,6.5,38.8,13.7,18.4,13.9,not fire
Bejaia Region Dataset,3,7,2012,23,51,19,13.9,85.8,0.4,13.3,9.2,18.5,14.3,not fire
Bejaia Region Dataset,5,8,2013,20,70,28,13.6,64.9,7.2,75.7,13.1,2.6,9.2,not fire
Bejaia Region Dataset,19,8,2013,36,57,26,12.4,27.1,29.3,68.0,10.9,38.4,18.4,not fire
Bejaia Region Dataset,7,9,2012,27,42,26,15.1,90.2,24.0,53.5,1.8,20.8,13.9,not fire
Bejaia Region Dataset,21,9,2014,21,82,9,3.2,73.3,28.8,37.0,13.5,41.1,14.6,not fire
Bejaia Region Dataset,9,7,2013,27,34,28,17.6,72.4,14.6,32.9,1.0,42.5,17.2,not fire
Bejaia Region Dataset,7,9,2013,26,44,5,17.4,40.1,3.3,52.1,8.0,10.6,5.5,not fire
Bejaia Region Dataset,18,6,2013,21,36,30,0.6,71.1,16.4,43.6,2.1,32.9,16.1,not fire
Bejaia Region Dataset,4,9,2012,41,85,8,16.5,52.6,13.6,5.0,0.2,23.6,3.9,not fire
Bejaia Region Dataset,25,9,2013,41,72,19,2.6,70.6,25.3,41.0,6.3,44.0,6.9,not fire
Bejaia Region Dataset,28,6,2014,22,70,24,6.7,32.5,2.9,64.5,4.4,10.8,6.7,not fire
Bejaia Region Dataset,14,7,2013,37,58,23,14.9,71.0,14.6,36.7,7.3,33.9,19.6,not fire
Bejaia Region Dataset,18,6,2013,31,70,7,3.2,95.0,4.5,4.2,8.7,30.4,17.1,not fire
Bejaia Region Dataset,26,9,2014,20,89,24,16.4,28.4,9.7,62.9,0.7,14.8,14.0,not fire
Bejaia Region Dataset,9,7,2013,41,25,15,16.6,93.4,22.1,16.1,1.8,6.8,14.5,not fire
Bejaia Region Dataset,26,9,2012,31,86,21,10.1,53.5,14.3,20.7,8.4,32.6,11.2,not fire
Bejaia Region Dataset,21,6,2012,24,26,34,0.1,86.0,11.3,13.2,5.1,36.9,18.9,not fire
Bejaia Region Dataset,2,6,2012,44,70,31,5.7,79.8,11.8,26.4,10.9,15.8,9.9,not fire
Bejaia Region Dataset,20,9,2014,36,91,17,12.3,64.7,13.8,60.5,9.8,32.2,7.6,not fire
Bejaia Region Dataset,28,8,2013,35,61,15,19.6,76.7,23.6,41.6,12.7,19.8,3.3,not fire
Bejaia Region Dataset,15,8,2012,34,83,6,12.6,86.5,26.8,16.4,10.4,35.7,15.7,not fire
Bejaia Region Dataset,28,6,2014,42,34,13,5.2,53.3,28.7,70.2,6.4,10.0,14.7,not fire
Bejaia Region Dataset,7,6,2013,34,48,30,12.7,47.9,23.6,70.4,10.1,44.5,7.7,not fire
Bejaia Region Dataset,12,8,2014,24,52,6,10.8,71.7,9.5,69.6,4.1,14.4,0.5,not fire
Bejaia Region Dataset,29,8,2012,40,46,25,15.6,81.5,20.6,19.1,4.6,18.4,16.8,not fire
Bejaia Region Dataset,8,9,2012,33,55,13,2.1,78.4,13.1,36.1,11.8,2.9,0.2,not fire
Bejaia Region Dataset,15,9,2012,21,48,13,15.2,80.8,7.6,78.8,6.7,5.6,14.1,not fire
Bejaia Region Dataset,3,8,2014,30,57,12,10.8,55.5,25.2,61.8,12.0,25.8,19.4,not fire
Bejaia Region Dataset,14,9,2014,38,76,21,19.3,82.2,1.2,2.2,12.3,13.4,8.8,not fire
Bejaia Region Dataset,17,9,2012,26,46,5,6.8,33.4,27.1,5.2,12.9,41.8,4.7,not fire
Bejaia Region Dataset,4,7,2014,25,74,29,12.7,63.1,13.8,37.1,13.7,0.7,14.1,not fire
Bejaia Region Dataset,18,9,2012,21,52,33,18.6,25.4,19.1,72.7,6.5,19.0,16.3,not fire
Bejaia Region Dataset,8,6,2012,25,87,15,2.1,47.7,19.8,43.1,4.8,16.9,10.9,not fire
Bejaia Region Dataset,4,9,2013,37,85,12,18.7,50.7,26.9,39.8,8.7,1.0,19.3,not fire
Bejaia Region Dataset,2,9,2014,21,29,14,13.8,52.7,19.1,8.4,5.6,6.2,1.0,not fire
Bejaia Region Dataset,30,8,2012,37,24,29,1.4,73.7,18.4,52.5,9.0,20.7,10.1,fire
Bejaia Region Dataset,6,6,2012,34,93,11,6.0,52.2,2.0,65.8,10.6,24.6,14.4,not fire
Bejaia Region Dataset,22,9,2014,38,57,7,14.2,56.4,15.6,30.4,10.3,20.2,17.3,not fire
Bejaia Region Dataset,10,9,2013,21,32,7,1.3,41.6,4.5,62.0,5.6,26.5,3.6,not fire
Bejaia Region Dataset,4,7,2013,39,50,22,11.6,51.1,22.1,77.2,2.5,29.8,16.0,not fire
Bejaia Region Dataset,22,9,2012,44,66,9,6.9,40.9,15.4,16.3,6.5,0.5,11.1,not fire
Bejaia Region Dataset,29,9,2014,25,71,16,12.4,30.1,20.4,41.9,2.1,23.2,7.9,not fire
Bejaia Region Dataset,31,7,2013,20,75,16,0.9,67.2,1.3,23.0,13.4,48.2,2.6,not fire
Bejaia Region Dataset,18,8,2014,43,34,23,17.4,71.8,2.5,63.4,5.2,26.0,17.3,not fire
Bejaia Region Dataset,26,9,2014,34,48,34,19.5,68.4,21.5,46.2,2.3,33.9,3.1,not fire
Bejaia Region Dataset,12,7,2012,42,27,10,19.4,57.4,2.2,50.8,0.4,15.6,6.2,not fire
Bejaia Region Dataset,2,6,2013,29,24,6,15.0,51.6,2.1,63.8,9.7,38.7,5.8,not fire
Bejaia Region Dataset,10,8,2012,38,48,16,2.6,85.4,0.4,31.7,9.6,38.6,17.4,not fire
Bejaia Region Dataset,30,6,2013,36,66,23,15.2,61.3,28.7,73.2,5.1,26.1,13.5,not fire
Bejaia Region Dataset,4,6,2013,24,87,9,0.5,58.5,22.1,42.6,1.1,48.8,15.9,not fire
Bejaia Region Dataset,14,7,2013,23,64,16,0.4,26.8,10.6,12.6,6.1,6.3,5.0,not fire
Bejaia Region Dataset,31,9,2013,29,21,31,6.5,48.9,8.9,55.7,4.7,0.8,12.5,not fire
Bejaia Region Dataset,16,7,2013,43,46,31,9.8,51.6,10.5,63.5,10.2,38.5,11.4,not fire
Bejaia Region Dataset,15,7,2014,36,55,21,15.4,52.9,23.2,25.3,9.1,40.4,16.7,not fire
Bejaia Region Dataset,8,7,2012,29,55,33,13.7,65.6,19.8,68.6,5.5,6.0,18.1,not fire
Bejaia Region Dataset,14,7,2014,36,45,21,8.9,62.4,5.6,72.5,3.3,13.3,0.2,not fire
Bejaia Region Dataset,23,8,2013,39,62,14,5.5,67.6,5.2,22.2,14.8,0.9,13.5,not fire
Bejaia Region Dataset,28,9,2012,43,46,29,19.9,78.5,3.0,78.7,6.8,14.7,1.0,not fire
Bejaia Region Dataset,25,6,2013,24,88,27,8.5,81.9,19.8,11.3,10.3,38.7,11.0,not fire
Bejaia Region Dataset,30,6,2012,21,39,21,9.0,75.3,22.9,16.2,2.1,25.9,5.8,not fire
Bejaia Region Dataset,8,9,2014,25,30,19,3.3,91.9,8.0,14.7,7.3,17.4,6.1,not fire
Bejaia Region Dataset,21,6,2012,40,93,16,15.9,26.3,0.6,71.5,0.4,18.6,7.1,not fire
Bejaia Region Dataset,16,9,2012,21,57,34,13.9,38.7,2.5,52.3,7.6,0.1,12.4,not fire
Bejaia Region Dataset,13,6,2012,32,25,20,4.4,25.5,29.0,12.2,14.5,15.0,6.7,not fire
Bejaia Region Dataset,18,7,2012,30,91,28,1.6,70.3,8.9,35.2,5.8,32.3,14.7,not fire
Bejaia Region Dataset,15,6,2012,30,42,23,13.6,87.9,23.1,49.2,0.6,48.7,8.1,not fire
Bejaia Region Dataset,21,9,2013,35,66,12,13.1,42.0,18.7,6.7,0.5,42.4,1.4,not fire
Bejaia Region Dataset,24,9,2012,30,65,25,5.5,89.9,11.5,70.6,5.8,1.2,15.7,not fire
Bejaia Region Dataset,26,9,2012,38,31,21,19.0,29.2,6.2,64.3,2.4,44.9,5.7,not fire
Bejaia Region Dataset,25,9,2014,34,32,27,3.0,90.4,3.6,40.4,0.4,39.2,8.7,not fire
Bejaia Region Dataset,28,9,2012,44,81,9,8.6,49.6,18.5,77.4,11.3,39.0,13.7,not fire
Bejaia Region Dataset,28,8,2014,42,79,26,18.9,32.1,23.2,33.4,6.9,22.9,6.6,not fire
Bejaia Region Dataset,28,8,2013,42,62,20,8.4,59.0,19.3,78.7,4.3,19.9,1.1,not fire
Bejaia Region Dataset,13,6,2012,35,87,10,12.8,43.0,15.9,53.4,13.5,15.1,7.5,not fire
Bejaia Region Dataset,9,9,2014,30,24,12,8.0,44.9,1.3,50.8,1.7,3.3,18.9,not fire
Bejaia Region Dataset,29,6,2014,41,56,29,5.5,46.5,29.1,13.3,14.3,11.4,12.8,not fire
Bejaia Region Dataset,15,9,2013,35,91,22,19.7,81.2,24.0,70.6,4.7,12.3,13.4,not fire
Bejaia Region Dataset,13,9,2012,27,50,29,8.2,62.7,8.8,34.2,13.3,24.2,12.6,not fire
Bejaia Region Dataset,1,8,2012,23,28,16,17.9,46.8,29.4,13.0,9.0,37.4,4.0,not fire
Bejaia Region Dataset,25,8,2014,27,70,19,4.6,67.7,18.1,1.0,12.4,23.7,8.4,not fire
Bejaia Region Dataset,7,7,2012,23,48,31,4.3,75.1,17.5,44.8,14.8,2.9,15.0,not fire
Bejaia Region Dataset,9,8,2014,43,59,30,0.6,44.1,22.4,42.2,4.3,47.9,2.0,not fire
Bejaia Region Dataset,24,7,2012,44,60,13,13.0,53.9,24.4,57.5,14.4,47.1,5.6,not fire
Bejaia Region Dataset,1,7,2014,22,30,17,7.4,33.5,19.7,71.2,5.8,39.3,5.5,not fire
Bejaia Region Dataset,12,7,2012,22,42,30,17.3,37.7,3.8,6.4,5.8,49.6,8.6,not fire
Bejaia Region Dataset,8,7,2013,37,20,19,9.5,72.7,10.1,58.5,5.1,27.2,19.6,not fire
Bejaia Region Dataset,24,7,2012,38,65,14,19.4,37.7,27.8,15.0,8.1,48.1,1.4,not fire
Bejaia Region Dataset,31,6,2012,38,40,20,3.7,61.8,6.7,68.7,2.3,3.8,10.4,not fire
Bejaia Region Dataset,11,8,2013,40,55,11,17.4,74.6,11.2,65.5,8.3,18.3,3.6,not fire
Bejaia Region Dataset,19,7,2012,24,73,21,15.5,32.5,13.0,43.3,8.1,11.3,19.4,not fire
Bejaia Region Dataset,17,9,2013,37,76,27,15.4,64.7,13.2,56.8,11.4,9.8,2.3,not fire
Bejaia Region Dataset,8,8,2012,29,20,30,16.9,43.0,18.4,25.1,12.5,7.0,8.1,not fire
Bejaia Region Dataset,3,8,2014,41,82,25,15.2,92.4,28.3,37.7,6.6,31.1,14.8,not fire
Bejaia Region Dataset,3,7,2014,40,73,26,12.5,58.8,7.2,65.7,4.5,39.1,14.1,not fire
Bejaia Region Dataset,1,6,2012,25,74,30,2.6,81.4,3.6,36.7,3.9,28.9,8.5,not fire
Sidi-Bel Abbes Region Dataset,27,7,2012,20,59,11,0.7,63.5,5.9,28.6,2.9,7.3,6.9,not fire
Sidi-Bel Abbes Region Dataset,5,6,2012,24,34,18,18.4,28.0,26.6,39.5,0.9,40.6,8.0,not fire
Sidi-Bel Abbes Region Dataset,10,9,2014,28,40,19,12.3,69.3,19.4,66.3,5.1,31.8,5.3,not fire
Sidi-Bel Abbes Region Dataset,7,8,2012,31,66,25,15.9,91.6,8.6,26.8,4.1,19.4,4.1,not fire
Sidi-Bel Abbes Region Dataset,26,9,2014,33,92,11,9.6,67.1,24.5,13.9,14.5,33.7,9.7,not fire
Sidi-Bel Abbes Region Dataset,9,6,2013,21,72,13,2.3,82.3,25.8,57.0,8.4,13.0,5.4,not fire
Sidi-Bel Abbes Region Dataset,28,6,2014,36,28,23,2.5,86.9,25.4,66.1,5.2,17.3,5.7,not fire
Sidi-Bel Abbes Region Dataset,7,9,2014,33,93,20,13.7,41.0,27.6,8.1,8.7,45.9,13.1,not fire
Sidi-Bel Abbes Region Dataset,9,6,2013,32,71,12,8.6,39.8,7.6,19.2,2.1,14.5,19.4,not fire
Sidi-Bel Abbes Region Dataset,8,9,2014,28,76,22,4.0,67.8,22.7,11.4,6.7,23.5,12.1,not fire
Sidi-Bel Abbes Region Dataset,12,8,2012,44,45,31,9.8,53.8,13.8,27.8,9.4,44.5,1.5,not fire
Sidi-Bel Abbes Region Dataset,2,9,2012,34,60,27,1.3,83.8,25.3,36.0,7.3,35.4,1.5,not fire
Sidi-Bel Abbes Region Dataset,1,8,2014,44,54,33,11.6,88.0,21.9,59.9,6.0,3.1,19.0,not fire
Sidi-Bel Abbes Region Dataset,16,9,2012,41,82,22,5.4,49.7,23.3,52.1,14.9,7.4,5.9,not fire
Sidi-Bel Abbes Region Dataset,23,6,2014,34,44,34,16.0,41.6,19.7,49.7,13.2,0.4,1.8,not fire
Sidi-Bel Abbes Region Dataset,23,9,2012,43,94,24,6.2,79.6,5.3,28.2,9.4,31.5,12.0,not fire
Sidi-Bel Abbes Region Dataset,30,6,2012,30,57,11,9.1,44.2,16.4,67.3,8.5,22.4,12.5,not fire
Sidi-Bel Abbes Region Dataset,24,9,2014,35,21,7,0.2,82.6,29.5,37.7,9.3,6.7,13.0,fire
Sidi-Bel Abbes Region Dataset,5,9,2012,36,26,22,1.4,54.7,28.1,78.3,3.0,47.9,5.3,fire
Sidi-Bel Abbes Region Dataset,3,7,2014,23,53,31,7.8,71.7,1.3,50.7,5.9,26.5,0.3,not fire
Sidi-Bel Abbes Region Dataset,12,6,2012,20,36,14,9.6,31.7,4.9,10.1,0.6,12.1,19.3,not fire
Sidi-Bel Abbes Region Dataset,8,7,2012,27,62,11,12.0,68.7,4.0,54.1,7.1,25.0,5.0,not fire
Sidi-Bel Abbes Region Dataset,22,6,2013,36,78,21,5.8,56.6,21.8,26.0,8.1,34.0,13.5,not fire
Sidi-Bel Abbes Region Dataset,27,7,2013,22,70,18,13.9,66.1,24.5,54.9,3.4,3.8,14.1,not fire
Sidi-Bel Abbes Region Dataset,3,8,2014,39,73,28,17.2,36.8,6.4,5.6,14.5,13.7,12.2,not fire
Sidi-Bel Abbes Region Dataset,1,9,2013,34,43,7,15.6,76.6,15.2,14.0,13.6,40.3,6.3,not fire
Sidi-Bel Abbes Region Dataset,3,6,2014,34,44,16,0.8,85.4,25.2,68.5,10.8,23.0,5.4,not fire
Sidi-Bel Abbes Region Dataset,5,6,2013,43,90,32,9.6,40.2,22.0,18.2,8.0,27.3,12.0,not fire
Sidi-Bel Abbes Region Dataset,15,9,2012,41,71,17,2.1,31.7,16.3,67.0,13.0,21.6,17.3,not fire
Sidi-Bel Abbes Region Dataset,14,6,2014,33,89,6,4.8,26.7,17.7,22.3,2.0,2.2,18.9,not fire
Sidi-Bel Abbes Region Dataset,3,6,2014,42,52,7,19.7,69.9,15.3,51.4,11.9,8.3,2.1,not fire
Sidi-Bel Abbes Region Dataset,1,7,2012,33,68,9,2.8,67.5,8.9,55.5,1.9,22.3,3.1,not fire
Sidi-Bel Abbes Region Dataset,5,6,2014,43,48,15,10.0,63.3,17.0,41.0,11.9,10.5,18.9,not fire
Sidi-Bel Abbes Region Dataset,26,8,2014,21,82,12,12.4,41.2,20.7,24.4,4.1,2.5,14.7,not fire
Sidi-Bel Abbes Region Dataset,23,8,2013,32,41,30,14.0,52.4,26.2,17.0,13.2,42.2,17.7,not fire
Sidi-Bel Abbes Region Dataset,31,9,2014,33,45,27,11.2,66.6,19.1,2.7,14.2,49.1,4.1,not fire
Sidi-Bel Abbes Region Dataset,14,6,2012,43,47,27,0.2,59.8,22.8,24.3,2.2,39.7,11.8,not fire
Sidi-Bel Abbes Region Dataset,7,9,2013,38,68,16,6.5,94.1,4.8,52.3,6.9,42.7,14.0,not fire
Sidi-Bel Abbes Region Dataset,27,8,2013,26,90,11,10.4,34.6,13.8,75.1,14.7,12.1,13.6,not fire
Sidi-Bel Abbes Region Dataset,9,6,2012,22,68,19,1.8,73.7,0.3,69.7,7.3,48.0,8.2,not fire
Sidi-Bel Abbes Region Dataset,15,6,2012,34,39,28,7.0,53.3,7.4,61.3,13.0,9.8,0.3,not fire
Sidi-Bel Abbes Region Dataset,15,9,2013,42,82,21,0.7,55.0,21.8,63.1,8.8,47.6,11.7,not fire
Sidi-Bel Abbes Region Dataset,26,8,2014,33,80,8,1.6,75.2,29.8,53.2,5.6,49.7,5.1,not fire
Sidi-Bel Abbes Region Dataset,10,6,2013,30,68,33,7.9,73.5,3.0,20.8,4.3,35.6,9.0,not fire
Sidi-Bel Abbes Region Dataset,28,9,2012,34,90,26,2.7,94.4,12.0,72.6,3.0,49.1,19.2,not fire
Sidi-Bel Abbes Region Dataset,13,8,2013,32,20,29,11.4,34.0,24.0,53.7,11.4,28.5,8.0,not fire
Sidi-Bel Abbes Region Dataset,19,9,2012,37,32,17,13.8,32.3,6.1,44.8,5.8,13.0,16.8,not fire
Sidi-Bel Abbes Region Dataset,31,7,2013,25,70,22,16.0,75.7,16.7,8.9,7.7,21.8,3.8,not fire
Sidi-Bel Abbes Region Dataset,7,6,2014,22,75,5,4.0,65.5,22.0,35.8,7.4,29.7,13.4,not fire
Sidi-Bel Abbes Region Dataset,17,7,2013,38,81,20,3.3,44.2,18.5,36.8,8.7,3.7,19.5,not fire
Sidi-Bel Abbes Region Dataset,20,8,2013,34,51,17,2.1,30.6,5.6,69.2,13.0,31.1,2.0,not fire
Sidi-Bel Abbes Region Dataset,29,7,2012,44,49,14,12.7,31.0,10.7,43.7,14.7,49.1,0.2,not fire
Sidi-Bel Abbes Region Dataset,4,7,2012,42,48,16,14.1,87.6,23.5,30.4,6.1,9.5,8.7,not fire
Sidi-Bel Abbes Region Dataset,30,8,2012,24,68,34,0.6,38.4,16.6,78.1,12.4,39.6,1.9,not fire
Sidi-Bel Abbes Region Dataset,5,9,2013,29,64,6,18.7,47.6,0.2,8.9,11.5,45.4,15.0,not fire
Sidi-Bel Abbes Region Dataset,23,7,2014,26,49,27,1.0,40.9,22.8,33.8,8.6,47.2,18.3,not fire
Sidi-Bel Abbes Region Dataset,7,9,2012,44,35,7,10.8,49.8,1.1,3.4,14.3,48.0,8.7,not fire
Sidi-Bel Abbes Region Dataset,13,7,2012,36,59,14,14.2,29.9,22.4,59.2,3.0,26.1,5.2,not fire
Sidi-Bel Abbes Region Dataset,15,9,2013,26,38,6,17.4,61.3,6.1,73.4,1.6,48.9,8.7,not fire
Sidi-Bel Abbes Region Dataset,11,8,2012,41,37,34,14.3,29.7,28.7,22.4,12.8,37.9,14.5,not fire
Sidi-Bel Abbes Region Dataset,29,7,2014,31,20,31,16.0,81.0,11.0,68.7,6.6,8.1,0.2,not fire
Sidi-Bel Abbes Region Dataset,4,8,2014,44,66,27,6.8,41.4,9.8,23.4,12.7,23.8,11.8,not fire
Sidi-Bel Abbes Region Dataset,13,7,2012,36,85,17,16.3,62.8,4.5,72.9,13.4,35.9,12.3,not fire
Sidi-Bel Abbes Region Dataset,7,8,2012,32,57,17,1.6,86.6,9.2,60.3,0.9,12.4,12.8,not fire
Sidi-Bel Abbes Region Dataset,27,8,2013,39,70,22,17.9,70.6,26.3,64.4,13.3,32.0,4.8,not fire
Sidi-Bel Abbes Region Dataset,19,7,2014,44,82,7,11.0,62.3,29.9,1.4,6.7,33.3,14.3,not fire
Sidi-Bel Abbes Region Dataset,22,7,2014,23,23,31,16.3,47.7,11.0,77.0,7.7,8.1,1.8,not fire
Sidi-Bel Abbes Region Dataset,28,7,2012,29,20,11,9.0,48.3,13.5,58.1,9.4,28.3,4.0,not fire
Sidi-Bel Abbes Region Dataset,2,6,2013,22,27,18,12.9,71.9,21.7,24.4,13.9,38.6,17.5,not fire
Sidi-Bel Abbes Region Dataset,10,9,2014,28,48,24,10.5,94.6,26.6,66.4,0.3,24.9,14.8,not fire
Sidi-Bel Abbes Region Dataset,13,6,2014,32,74,33,14.6,71.3,17.8,22.5,7.2,0.6,0.3,not fire
Sidi-Bel Abbes Region Dataset,30,6,2013,37,22,34,1.6,64.0,11.7,69.8,10.3,0.5,5.0,not fire
Sidi-Bel Abbes Region Dataset,25,8,2013,34,51,21,1.2,76.1,12.4,9.0,10.8,17.9,4.3,not fire
Sidi-Bel Abbes Region Dataset,21,7,2014,23,29,33,4.9,57.6,20.9,56.3,10.4,46.3,5.4,not fire
Sidi-Bel Abbes Region Dataset,6,9,2014,34,93,34,3.2,29.2,0.1,43.3,2.0,11.4,5.0,not fire
Sidi-Bel Abbes Region Dataset,28,8,2013,41,53,25,17.4,64.4,18.6,7.7,4.5,31.7,1.3,not fire
Sidi-Bel Abbes Region Dataset,28,6,2014,21,74,16,4.4,92.0,10.7,19.4,5.4,11.1,9.2,not fire
Sidi-Bel Abbes Region Dataset,12,7,2012,34,51,29,19.5,37.3,23.8,1.0,12.1,16.1,14.7,not fire
Sidi-Bel Abbes Region Dataset,12,8,2012,27,69,20,6.7,73.3,2.8,37.5,4.2,42.4,12.1,not fire
Sidi-Bel Abbes Region Dataset,20,7,2013,27,26,28,3.6,39.1,17.6,24.1,3.2,36.4,13.5,not fire
Sidi-Bel Abbes Region Dataset,30,8,2013,36,27,16,15.8,62.5,14.4,47.9,14.4,4.8,1.6,not fire
Sidi-Bel Abbes Region Dataset,30,7,2013,31,84,19,13.2,31.8,19.3,23.8,0.1,21.4,19.0,not fire
Sidi-Bel Abbes Region Dataset,11,6,2012,38,76,29,10.0,56.5,1.9,24.0,15.0,1.5,16.8,not fire
